,dataTime,stationName,so2Value,coValue,o3Value,no2Value,pm10Value
1,2022-01-02 17:00,중2동,0.002,0.3,0.035,0.014,21
2,2022-01-02 17:00,오정동,0.002,0.4,0.033,0.01,19
3,2022-01-02 17:00,송내대로(중동),0.004,0.4,0.028,0.015,30
4,2022-01-02 17:00,소사본동,0.002,0.4,0.032,0.014,21
5,2022-01-02 17:00,내동,0.003,0.4,0.032,0.009,23
6,2022-01-02 17:00,우정읍,0.003,0.4,0.041,0.006,27
7,2022-01-02 17:00,청계동,0.002,0.3,0.033,0.012,44
8,2022-01-02 17:00,새솔동,0.001,0.3,0.043,0.008,29
9,2022-01-02 17:00,봉담읍,0.004,0.4,0.034,0.011,28
10,2022-01-02 17:00,서신면,0.003,0.3,0.037,0.005,24
11,2022-01-02 17:00,백석읍,0.002,0.3,0.038,0.004,25
12,2022-01-02 17:00,고읍,0.002,0.3,0.036,0.007,23
13,2022-01-02 17:00,보산동,0.002,0.2,0.036,0.008,20
14,2022-01-02 17:00,봉산동,0.003,0.5,0.035,0.011,40
15,2022-01-02 17:00,공도읍,0.002,0.6,0.036,0.011,42
16,2022-01-02 17:00,죽산면,0.002,0.3,0.041,0.01,45
17,2022-01-02 17:00,중앙동(경기),0.002,0.4,0.037,0.014,32
18,2022-01-02 17:00,대신면,0.002,0.3,0.034,0.011,37
19,2022-01-02 17:00,가남읍,0.003,0.4,0.033,0.015,51
20,2022-01-02 17:00,연천,0.003,0.4,0.038,0.006,20
21,2022-01-02 17:00,가평,0.003,0.6,0.036,0.004,19
22,2022-01-02 17:00,설악면,0.003,0.7,0.036,0.011,39
23,2022-01-02 17:00,용문면,0.003,0.5,0.033,0.017,46
24,2022-01-02 17:00,양평읍,0.003,0.6,0.037,0.015,43
25,2022-01-02 17:00,연천(DMZ),0.002,0.3,0.039,0.005,35
26,2022-01-02 17:00,신풍동,0.004,0.5,0.031,0.016,44
27,2022-01-02 17:00,인계동,0.003,0.6,0.036,0.018,37
28,2022-01-02 17:00,광교동,0.003,0.5,0.025,0.02,36
29,2022-01-02 17:00,영통동,0.003,0.6,0.035,0.018,41
30,2022-01-02 17:00,천천동,0.003,0.5,0.036,0.014,45
