시간,동향(m),서향(m),동풍 속도,서풍 속도,각도(DEG),풍향(DEG),서향 풍속,파향(DEG),파속,최대 파고(m),평균 파고(m),현재 파고(m)
0:00:04,0,0,0,0,0,44,2.6,170,5.4,2.1,2,2.1
0:00:20,0,0,0,0,0,358.6,3,178.9,6.4,2.1,2,2.1
0:00:30,0,0,0,0,0,18.3,3.5,178.9,6.4,2.1,2,2.1
0:00:40,0,0,0,0,0,25.6,3.7,178.9,6.4,2.1,2,2.1
0:00:51,0,0,0,0,0,37.6,2.7,192.4,9.900001,2.1,2,2.1
0:01:01,0,0,0,0,0,21,3,192.4,9.900001,2.1,2,2.1
0:01:12,0,0,0,0,0,26.6,3.5,180.9,8.900001,2.1,2,2.1
0:01:23,0,0,0,0,0,35.7,3.3,165.5,7.7,2.1,2,2.1
0:01:33,0,0,0,0,0,24,4.9,165.5,7.7,2.1,2,2.1
0:01:45,0,0,0,0,0,20.6,3.4,175,4.3,2.1,2,2.1
0:01:56,0,0,0,0,0,21.4,3.1,175,4.3,2.1,2,2.1
0:02:06,0,0,0,0,0,13,4.4,169,5.8,2.1,2,2.1
0:02:17,0,0,0,0,0,17.8,3,169,5.8,2.1,2,2.1
0:02:28,0,0,0,0,0,351,1.8,172.9,4.7,2.1,1.9,2.1
0:02:38,0,0,0,0,0,353.3,1.8,172.9,4.7,2.1,1.9,2.1
0:02:49,0,0,0,0,0,28.6,1.8,163,3.7,2.1,1.9,2.1
0:03:00,0,0,0,0,0,20.6,4.6,195.7,2.8,2.1,1.9,2.1
0:03:10,0,0,0,0,0,9.1,2.9,195.7,2.8,2.1,1.9,2.1
0:03:20,0,0,0,0,0,11.7,3.4,195.7,2.8,2.1,1.9,2.1
0:03:30,0,0,0,0,0,5.1,3.7,183.5,3.7,2.1,1.9,2.1
0:03:41,0,0,0,0,0,28.1,3.5,168.9,3,2.1,1.9,2.1
0:03:52,0,0,0,0,0,13.4,3.3,168.9,3,2.1,1.9,2.1
0:04:02,0,0,0,0,0,37.3,2.2,186.3,3,2,1.9,2
0:04:12,0,0,0,0,0,13.6,3.1,186.3,3,2,1.9,2
0:04:23,0,0,0,0,0,28.7,2.1,179.2,2.7,2,1.9,2
0:04:34,0,0,0,0,0,10.5,2.6,179.2,2.7,2,1.9,2
0:04:44,0,0,0,0,0,27.3,2.2,189,2.2,2,1.9,2
0:04:55,0,0,0,0,0,33,2.4,189,2.2,2,1.9,2
0:05:05,0,0,0,0,0,18.6,3.5,203.3,2.6,2,1.9,2
0:05:16,0,0,0,0,0,355.5,1.6,203.3,2.6,2,1.9,2
0:05:26,0,0,0,0,0,16.5,3,134.2,2.1,2,1.9,2
0:05:36,0,0,0,0,0,25.3,2.8,134.2,2.1,2,1.9,2
0:05:47,0,0,0,0,0,32.8,3,77,2.5,2,1.9,2
0:05:57,0,0,0,0,0,35.7,3,77,2.5,2,1.9,2
0:06:10,0,0,0,0,0,27.8,2.5,72.8,0.9,2,1.9,2
0:06:21,0,0,0,0,0,55.6,2.7,12.1,1.8,2,1.9,2
0:06:32,0,0,0,0,0,16.4,4,12.1,1.8,2,1.9,2
0:06:42,0,0,0,0,0,28.6,2.8,72.6,1.4,2,1.9,2
0:06:52,0,0,0,0,0,22.7,2.3,72.6,1.4,2,1.9,2
0:07:03,0,0,0,0,0,19,3,111.5,1.5,2,1.9,2
0:07:13,0,0,0,0,0,22.6,2.4,111.5,1.5,2,1.9,2
0:07:24,0,0,0,0,0,15.2,2.4,88.5,3,2,1.9,2
0:07:34,0,0,0,0,0,6.4,4.2,88.5,3,2,1.9,2
0:07:45,0,0,0,0,0,11,3.9,67.8,2.9,2,1.9,2
0:07:56,0,0,0,0,0,22.9,4.8,67.8,2.9,2,1.8,2
0:08:07,0,0,0,0,0,49.1,2.8,96.7,6.4,2,1.8,2
0:08:18,0,0,0,0,0,18.8,4.8,96.7,6.4,2,1.8,2
0:08:28,0,0,0,0,0,15.4,4,103.8,2.9,2,1.8,2
0:08:38,0,0,0,0,0,15.1,3.4,103.8,2.9,2,1.8,2
0:08:48,0,0,0,0,0,21.3,3.4,122.5,1.7,2,1.8,2
0:08:59,0,0,0,0,0,36.8,2,122.5,1.7,1.9,1.8,1.9
0:09:09,0,0,0,0,0,49.2,1.2,95.2,1.7,1.9,1.8,1.9
0:09:20,0,0,0,0,0,36.6,1.8,121.4,3.6,1.9,1.8,1.9
0:09:30,0,0,0,0,0,12.8,3.1,121.4,3.6,1.9,1.8,1.9
0:09:41,0,0,0,0,0,26.8,3,131,1.2,1.9,1.8,1.9
0:09:51,0,0,0,0,0,9,2.1,131,1.2,1.9,1.8,1.9
0:10:01,0,0,0,0,0,14.7,3.6,159.2,1.2,1.9,1.8,1.9
0:10:12,0,0,0,0,0,15.1,4.4,159.2,1.2,1.9,1.8,1.9
0:10:23,0,0,0,0,0,348.7,3.1,217.8,0.9,1.9,1.8,1.9
0:10:34,0,0,0,0,0,9.400001,3.4,217.8,0.9,1.9,1.8,1.9
0:10:44,0,0,0,0,0,40.8,1.9,128,2.4,1.9,1.8,1.9
0:10:54,0,0,0,0,0,30.3,2.8,128,2.4,1.9,1.8,1.9
