X1,X2,X3,X4,Y1,Y2,Y3,Y4
2,3,5,5,4,4,5,5
5,5,4,4,4,5,5,5
4,5,5,5,4,4,5,5
4,3,4,4,4,5,5,5
3,3,5,5,4,4,5,5
3,3,4,5,3,3,4,4
3,4,4,4,4,3,5,4
4,4,5,5,3,4,5,5
4,5,5,5,4,4,5,4
4,4,3,3,3,4,4,4
4,4,5,5,4,5,5,5
5,5,4,4,5,5,5,5
4,4,4,4,4,4,5,5
4,3,5,5,4,4,4,4
4,4,5,5,4,4,5,5
3,3,4,5,3,4,4,4
4,5,4,4,5,5,5,5
5,5,5,5,4,5,4,4
5,5,4,4,3,4,4,4
4,4,4,4,5,3,4,4
4,4,4,4,5,3,4,4
4,4,4,4,4,5,4,4
3,4,5,5,2,5,5,5
5,3,5,5,3,4,5,5
5,5,3,3,4,3,5,5
3,3,4,4,4,4,4,4
4,4,4,4,4,4,5,5
3,3,5,5,3,4,4,4
4,4,3,3,4,4,5,4
4,4,5,5,4,4,5,5
